Марка,Ціна в $,Місто
Mercedes-Benz AMG GT 2021,    186 215 $    ,Київ 
Mercedes-Benz E-Class 2020,    69 239 $    ,Львів 
Mercedes-Benz GLC-Class 2021,    48 855 $    ,Львів 
Mercedes-Benz EQC 2020,    102 418 $    ,Київ 
Mercedes-Benz Vito пасс. 2021,    40 578 $    ,Львів 
Mercedes-Benz Actros 2021,    100 091 $    ,Львів 
Mercedes-Benz V-Class 2021,    54 067 $    ,Львів 
Mercedes-Benz GLE-Class 2021,    170 000 $    ,Київ 
Mercedes-Benz C-Class 2021,    50 253 $    ,Одеса 
Mercedes-Benz Sprinter груз. 2020,    48 765 $    ,Одеса 
Mercedes-Benz AMG GT 2021,    203 673 $    ,Київ 
Mercedes-Benz S-Class 2021,    209 493 $    ,Київ 
Mercedes-Benz S-Class 2021,    130 926 $    ,Одеса 
Mercedes-Benz S-Class 2021,    226 951 $    ,Київ 
Mercedes-Benz Maybach 2021,    324 715 $    ,Київ 
Mercedes-Benz GLS-Class 2021,    218 804 $    ,Київ 
Mercedes-Benz GLB-Class 2021,    44 182 $    ,Львів 
Mercedes-Benz G-Class 2021,    384 071 $    ,Київ 
Mercedes-Benz V-Class 2021,    116 384 $    ,Київ 
Mercedes-Benz GLE-Class 2021,    111 161 $    ,Ужгород 
Mercedes-Benz GLE-Class 2021,    86 113 $    ,Львів 
Mercedes-Benz G-Class 2021,    139 173 $    ,Львів 
Mercedes-Benz V-Class 2020,    108 971 $    ,Київ 
Mercedes-Benz Vito пасс. 2020,    67 821 $    ,Одеса 
Mercedes-Benz AMG GT 2021,    347 992 $    ,Київ 
Mercedes-Benz S-Class 2017,    500 456 $    ,Київ 
Mercedes-Benz G-Class 2021,    779 781 $    ,Київ 
Mercedes-Benz GLE-Class 2021,    180 000 $    ,Київ 
Mercedes-Benz AMG GT 2021,    256 036 $    ,Київ 
Mercedes-Benz Actros 2022,    110 566 $    ,Львів 
Mercedes-Benz GLE-Class 2021,    197 855 $    ,Київ 
Mercedes-Benz G-Class 2020,    203 674 $    ,Київ 
Mercedes-Benz GLB-Class 2021,    62 386 $    ,Ужгород 
Mercedes-Benz GLE-Class 2021,    79 181 $    ,Ужгород 
Mercedes-Benz Vito пасс. 2021,    67 138 $    ,Київ 
Mercedes-Benz E-Class 2021,    74 137 $    ,Житомир 
Mercedes-Benz GLE-Class 2021,    92 746 $    ,Черкаси 
Mercedes-Benz G-Class 2021,    389 890 $    ,Київ 
Mercedes-Benz GLS-Class 2021,    244 409 $    ,Київ 
Mercedes-Benz C-Class 2020,    54 077 $    ,Київ 
Mercedes-Benz GLE-Class 2019,    102 062 $    ,Київ 
Mercedes-Benz V-Class 2021,    108 855 $    ,Київ 
Mercedes-Benz GLE-Class 2021,    84 621 $    ,Черкаси 
Mercedes-Benz Vito пасс. 2021,    40 578 $    ,Київ 
Mercedes-Benz G-Class 2021,    401 529 $    ,Київ 
Mercedes-Benz V-Class 2021,    109 996 $    ,Київ 
Mercedes-Benz S-Class 2020,    124 291 $    ,Львів 
Mercedes-Benz Sprinter груз. 2021,    38 291 $    ,Київ 
Mercedes-Benz S-Class 2021,    115 261 $    ,Львів 
Mercedes-Benz V-Class 2021,    112 894 $    ,Одеса 
Mercedes-Benz Vito пасс. 2022,    55 865 $    ,Львів 
Mercedes-Benz GLE-Class 2021,    120 083 $    ,Харків 
Mercedes-Benz GLE-Class 2021,    76 675 $    ,Львів 
Mercedes-Benz Vito пасс. 2020,    60 288 $    ,Львів 
Mercedes-Benz Sprinter груз. 2020,    48 765 $    ,Одеса 
Mercedes-Benz V-Class 2020,    205 239 $    ,Одеса 
Mercedes-Benz Vito пасс. 2021,    31 308 $    ,Ужгород 
Mercedes-Benz V-Class 2021,    113 510 $    ,Одеса 
Mercedes-Benz S-Class 2021,    227 000 $    ,Одеса 
Mercedes-Benz E-Class 2020,    67 550 $    ,Хмельницький 
Mercedes-Benz GLE-Class 2021,    89 726 $    ,Хмельницький 
Mercedes-Benz V-Class 2021,    77 396 $    ,Київ 
Mercedes-Benz Vito пасс. 2021,    40 578 $    ,Хмельницький 
Mercedes-Benz V-Class 2021,    56 447 $    ,Київ 
Mercedes-Benz Sprinter груз. 2020,    37 825 $    ,Київ 
Mercedes-Benz S-Class 2020,    197 360 $    ,Хмельницький 
Mercedes-Benz Vito пасс. 2021,    40 578 $    ,Луцьк 
Mercedes-Benz GLE-Class 2021,    85 485 $    ,Хмельницький 
Mercedes-Benz Vito груз. 2020,    29 898 $    ,Луцьк 
Mercedes-Benz S-Class 2021,    166 757 $    ,Луцьк 
Mercedes-Benz C-Class 2021,    61 284 $    ,Луцьк 
Mercedes-Benz GLE-Class 2021,    85 568 $    ,Луцьк 
Mercedes-Benz Vito груз. 2021,    29 898 $    ,Луцьк 
Mercedes-Benz E-Class 2021,    69 502 $    ,Херсон 
Mercedes-Benz C-Class 2021,    64 726 $    ,Хмельницький 
Mercedes-Benz S-Class 2021,    195 113 $    ,Херсон 
